127.0.0.1 - - [24/Feb/2014:12:37:03 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2014:12:37:03 +0900] "GET /HTML/index.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [24/Feb/2014:12:38:09 +0900] "GET /HTML/index.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [24/Feb/2014:12:38:10 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:43:50 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:43:50 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:44:24 +0900] "GET /HTML/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:45:16 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:45:17 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:45:18 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:45:19 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:45:52 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:46:49 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:50:20 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:51:42 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:52:36 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:54:20 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:57:55 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:57:56 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:57:56 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:57:56 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:14:57:56 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:13:58 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:14:48 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:15:22 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:16:04 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:17:15 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:17:17 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:17:19 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:17:19 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:17:22 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:18:32 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:06 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:17 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:19 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:20 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:23 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:24 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:24 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:24 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:24 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:31 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:31 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:31 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:19:37 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:24:11 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:25:30 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:30:00 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:31:43 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:32:50 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:33:33 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:33:43 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:34:53 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:35:09 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:35:25 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:35:47 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:37:20 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:37:41 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:46:01 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:47:01 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:47:46 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:47:56 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:49:34 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:49:59 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:50:01 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:50:01 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:50:01 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:50:50 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:53:13 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:53:26 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:54:19 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [24/Feb/2014:15:57:28 +0900] "GET /HTML/ch01/02.html HTTP/1.1" 200 1429
