0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:34:41 +0900] "GET /HTML/ch03/WebContent/ch02/Tulips.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:34:43 +0900] "GET /HTML/ch03/WebContent/ch02/Tulips.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:34:45 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:34:50 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:36:42 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:36:42 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:11 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:15 +0900] "GET /HTML/ch03/test.txt HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:49 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:49 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 200 777835
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:49 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:42:52 +0900] "GET /HTML/ch03/test.txt HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:45:58 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:45:58 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:46:25 +0900] "GET /HTML/ch03/MONSTER.mp4 HTTP/1.1" 206 168291
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:47:07 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:47:09 +0900] "GET /HTML/ch03/MONSTER.mp4 HTTP/1.1" 206 167290
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:48:29 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:48:33 +0900] "GET /HTML/ch03/MONSTER.mp4 HTTP/1.1" 206 168291
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:51:01 +0900] "GET /HTML/ch03/MONSTER.mp4 HTTP/1.1" 206 12929531
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:05:47 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1421
