127.0.0.1 - - [26/Feb/2014:08:57:50 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:57:51 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:57:51 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:58:26 +0900] "GET /HTML/ch06/frameMain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:58:26 +0900] "GET /HTML/ch01/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:58:26 +0900] "GET /HTML/ch06/frameLeft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:08:59:13 +0900] "GET /HTML/ch05/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:01:32 +0900] "GET /HTML/task/resume.html HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:01:32 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:48 +0900] "GET /HTML/task/resume.html HTTP/1.1" 200 3768
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:48 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:49 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:49 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:50 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:50 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:51 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:51 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:52 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:53 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:53 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:53 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:03:53 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/resume.html HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:01 +0900] "GET /HTML/task/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2014:09:04:02 +0900] "GET /HTML/task/resume.html HTTP/1.1" 304 -
